date,a,b,c,d,e,mb
12-13-19,17,21,29,39,56,22
12-17-19,22,30,53,55,56,16
12-20-19,3,20,23,35,60,16
12-24-19,27,37,48,63,66,11
12-27-19,17,34,40,63,64,24
12-31-19,30,44,49,53,56,11
1-3-20,37,41,42,53,63,16
1-7-20,25,40,41,52,56,21
1-10-20,17,27,49,51,66,2
1-14-20,9,11,13,31,47,11
1-17-20,3,25,30,54,70,9
1-21-20,16,18,29,31,37,8
1-24-20,3,4,18,23,38,24
1-28-20,17,36,47,51,62,21
1-31-20,28,31,33,57,62,19
2-4-20,32,48,50,51,64,10
2-7-20,9,14,27,36,52,4
2-11-20,4,6,32,52,64,6
2-14-20,10,32,48,54,55,18
2-18-20,6,12,39,61,70,4
2-21-20,4,7,13,16,60,6
2-25-20,2,9,43,49,63,15
2-28-20,2,3,14,41,64,17
3-3-20,8,12,33,56,64,2
3-6-20,15,48,56,58,70,4
3-10-20,6,17,48,54,69,12
3-13-20,7,22,37,43,44,22
3-17-20,20,27,28,58,59,25
3-20-20,34,35,41,45,54,5
3-24-20,2,8,16,18,31,14
3-27-20,3,25,28,50,60,1
3-31-20,8,17,51,57,70,2
4-3-20,24,38,44,57,58,17
4-7-20,25,33,43,51,68,20
4-10-20,2,11,21,57,60,13
4-14-20,29,47,65,69,70,7
4-17-20,13,35,39,46,55,14
4-21-20,13,15,24,67,70,17
4-24-20,1,27,32,60,67,18
4-28-20,13,19,53,54,63,17
5-1-20,28,30,31,35,66,14
5-5-20,7,13,17,21,45,14
5-8-20,5,20,22,61,70,4
5-12-20,7,16,27,44,52,5
5-15-20,11,17,32,33,46,25
5-19-20,8,19,25,36,66,9
5-22-20,8,10,20,44,46,18
5-26-20,34,52,58,59,62,4
5-29-20,10,13,32,41,51,3
6-2-20,9,20,23,26,29,8
6-5-20,32,35,37,47,55,22
6-9-20,1,5,9,10,23,22
6-12-20,9,14,57,67,70,2
6-16-20,21,23,33,35,42,6
6-19-20,11,34,36,52,66,7
6-23-20,6,20,37,40,48,15
6-26-20,19,33,37,56,57,6
6-30-20,9,16,29,37,53,11
7-3-20,20,40,44,45,50,24
7-7-20,16,20,25,30,43,18
7-10-20,10,15,20,49,53,22
7-14-20,6,26,55,56,64,22
7-17-20,12,13,21,46,57,21
7-21-20,14,25,26,41,43,15
7-24-20,8,33,39,54,58,17
7-28-20,17,20,27,31,34,19
7-31-20,12,35,46,48,69,23
8-4-20,2,22,30,42,62,20
8-7-20,4,44,53,64,70,3
8-11-20,8,22,29,43,56,9
8-14-20,3,24,29,42,47,13
8-18-20,4,18,26,27,58,23
8-21-20,11,15,31,42,63,14
8-25-20,8,10,15,17,57,12
8-28-20,3,9,50,53,64,1
9-1-20,15,25,26,38,47,22
9-4-20,19,22,24,28,53,25
9-8-20,7,10,15,31,57,21
9-11-20,3,15,42,48,56,13
9-15-20,25,28,38,59,62,22
9-18-20,26,29,41,52,64,11
9-22-20,36,43,44,55,68,12
9-25-20,20,36,37,48,67,16
9-29-20,14,39,43,44,67,19
10-2-20,9,38,47,49,68,25
10-6-20,15,16,18,39,59,17
10-9-20,5,11,25,27,64,13
10-13-20,11,44,45,46,70,25
10-16-20,27,32,50,52,57,12
10-20-20,46,54,57,58,66,10
10-23-20,18,34,44,60,69,22
10-27-20,6,13,34,46,62,1
10-30-20,14,19,34,39,59,11
11-3-20,7,31,44,45,55,19
11-6-20,18,24,27,34,60,2
11-10-20,23,45,53,58,62,13
11-13-20,6,7,14,28,59,7
11-17-20,8,13,35,46,68,16
11-20-20,26,33,45,61,68,17
11-24-20,9,15,34,61,64,6
11-27-20,4,10,27,35,58,10
12-1-20,7,33,53,61,65,14
12-4-20,3,19,24,44,50,8
12-8-20,15,19,33,39,68,25
12-11-20,19,31,37,55,67,25
12-15-20,1,10,18,20,46,15
12-18-20,7,15,25,51,60,5
12-22-20,29,53,56,59,67,21
12-25-20,17,23,36,69,70,19
12-29-20,1,31,35,48,62,19
1-1-21,8,24,53,68,69,7
1-5-21,20,43,51,55,57,4
1-8-21,3,6,16,18,58,11
1-12-21,12,14,26,28,33,9
1-15-21,3,11,12,38,43,15
1-19-21,10,19,26,28,50,16
1-22-21,4,26,42,50,60,24
1-26-21,29,49,56,66,67,24
1-29-21,4,44,58,59,70,3
2-2-21,13,37,38,40,67,10
2-5-21,14,17,28,29,44,2
2-9-21,7,18,21,31,40,9
2-12-21,5,14,24,25,27,14
2-16-21,1,36,44,54,66,10
2-19-21,27,32,47,50,53,4
2-23-21,5,7,9,20,57,15
2-26-21,11,15,37,62,64,5
3-2-21,4,8,13,34,64,18
3-5-21,10,11,17,27,54,20
3-9-21,4,33,46,58,65,13
3-12-21,2,24,25,31,65,18
